Subject,Group,Absolute_3s,Absolute_Inf,Pointing_3s,Pointing_Inf,Relative_3s,Relative_Inf
1089,VR,0.4166666666666667,0.4722222222222222,0.5555555555555556,0.6944444444444444,0.5555555555555556,0.6111111111111112
1155,VR,0.4722222222222222,0.5,0.5,0.6666666666666666,0.5277777777777778,0.5
1719,Map,0.5,0.6111111111111112,0.4444444444444444,0.4444444444444444,0.5,0.3888888888888889
2044,VR,0.4444444444444444,0.4166666666666667,0.5,0.5833333333333334,0.4444444444444444,0.6388888888888888
2096,Map,0.5277777777777778,0.6111111111111112,0.3333333333333333,0.6111111111111112,0.5277777777777778,0.6111111111111112
2294,Map,0.5555555555555556,0.4722222222222222,0.5277777777777778,0.3611111111111111,0.3333333333333333,0.5277777777777778
2299,Map,0.4166666666666667,0.6944444444444444,0.4722222222222222,0.5277777777777778,0.7222222222222222,0.5833333333333334
2557,Map,0.4722222222222222,0.5833333333333334,0.3333333333333333,0.6111111111111112,0.6944444444444444,0.5277777777777778
3023,VR,0.6666666666666666,0.75,0.5,0.8055555555555556,0.6944444444444444,0.75
3426,Map,0.75,0.7777777777777778,0.5833333333333334,0.6388888888888888,0.75,0.6944444444444444
3743,VR,0.4444444444444444,0.7777777777777778,0.6111111111111112,0.7222222222222222,0.4722222222222222,0.6388888888888888
4199,Map,0.6388888888888888,0.75,0.5277777777777778,0.6944444444444444,0.6111111111111112,0.7222222222222222
4272,VR,0.3888888888888889,0.4722222222222222,0.5833333333333334,0.6111111111111112,0.3333333333333333,0.5833333333333334
4749,Map,0.5555555555555556,0.75,0.5555555555555556,0.5277777777777778,0.7777777777777778,0.75
5048,Map,0.5,0.4722222222222222,0.4722222222222222,0.4166666666666667,0.5833333333333334,0.5277777777777778
5162,Map,0.4166666666666667,0.3611111111111111,0.4722222222222222,0.5833333333333334,0.5833333333333334,0.4444444444444444
5239,VR,0.5833333333333334,0.4722222222222222,0.3888888888888889,0.5277777777777778,0.3888888888888889,0.5833333333333334
5253,VR,0.5277777777777778,0.6388888888888888,0.5277777777777778,0.5833333333333334,0.4444444444444444,0.4166666666666667
5346,VR,0.4166666666666667,0.75,0.5,0.5,0.4166666666666667,0.5833333333333334
5904,Map,0.4166666666666667,0.3055555555555556,0.5277777777777778,0.5277777777777778,0.5833333333333334,0.5
6398,VR,0.5277777777777778,0.8055555555555556,0.5555555555555556,0.5555555555555556,0.5833333333333334,0.8055555555555556
6449,Map,0.4722222222222222,0.5277777777777778,0.5555555555555556,0.75,0.6666666666666666,0.5555555555555556
7021,VR,0.5555555555555556,0.5277777777777778,0.6388888888888888,0.6388888888888888,0.5277777777777778,0.6388888888888888
7085,Map,0.8333333333333334,0.8888888888888888,0.4444444444444444,0.75,0.8055555555555556,0.8333333333333334
7396,Map,0.5277777777777778,0.4166666666666667,0.5277777777777778,0.5555555555555556,0.4166666666666667,0.6944444444444444
7844,Map,0.5833333333333334,0.6111111111111112,0.5555555555555556,0.5555555555555556,0.5277777777777778,0.5833333333333334
8021,Map,0.5277777777777778,0.5833333333333334,0.6111111111111112,0.4444444444444444,0.5277777777777778,0.5277777777777778
8072,VR,0.6666666666666666,0.5833333333333334,0.4444444444444444,0.6666666666666666,0.5,0.4722222222222222
8078,Map,0.5,0.7222222222222222,0.5,0.5833333333333334,0.6111111111111112,0.7777777777777778
8124,Map,0.7222222222222222,0.8888888888888888,0.5833333333333334,0.8611111111111112,0.8055555555555556,0.8333333333333334
8195,VR,0.4444444444444444,0.3888888888888889,0.3888888888888889,0.5,0.4722222222222222,0.5833333333333334
8261,VR,0.5,0.6944444444444444,0.6388888888888888,0.5555555555555556,0.3611111111111111,0.6111111111111112
8479,Map,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.5833333333333334,0.5833333333333334
8547,VR,0.4166666666666667,0.6388888888888888,0.6388888888888888,0.5,0.5555555555555556,0.3888888888888889
8699,VR,0.5277777777777778,0.5,0.5555555555555556,0.5833333333333334,0.5555555555555556,0.5
8802,Map,0.3888888888888889,0.6111111111111112,0.4166666666666667,0.6666666666666666,0.4444444444444444,0.4444444444444444
8936,VR,0.5277777777777778,0.5,0.5277777777777778,0.5833333333333334,0.5,0.2222222222222222
8954,VR,0.4444444444444444,0.5277777777777778,0.5,0.6944444444444444,0.5,0.6111111111111112
9017,VR,0.5,0.5,0.5,0.5555555555555556,0.6111111111111112,0.6666666666666666
9369,Map,0.5833333333333334,0.6944444444444444,0.3333333333333333,0.5,0.5,0.6111111111111112
9437,VR,0.6944444444444444,0.4444444444444444,0.5,0.6111111111111112,0.5,0.3333333333333333
9475,VR,0.6388888888888888,0.6666666666666666,0.4722222222222222,0.5833333333333334,0.5277777777777778,0.5277777777777778
9864,Map,0.5833333333333334,0.3333333333333333,0.3611111111111111,0.5277777777777778,0.4722222222222222,0.5555555555555556
9961,VR,0.3888888888888889,0.5555555555555556,0.4166666666666667,0.6111111111111112,0.4722222222222222,0.5277777777777778
