Group,Subject,0_3s,0_Inf,120_3s,120_Inf,150_3s,150_Inf,180_3s,180_Inf,30_3s,30_Inf,60_3s,60_Inf,90_3s,90_Inf
VR,1089,0.25,0.0,0.5,0.14285714285714285,0.5,0.5714285714285714,0.3333333333333333,0.5,0.3333333333333333,0.6,0.2857142857142857,0.6,0.6666666666666666,0.6666666666666666
VR,1155,0.25,0.0,0.25,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.5,0.6666666666666666,0.6,0.42857142857142855,0.6,0.8333333333333334,0.5
VR,2044,0.5,0.0,0.75,0.42857142857142855,0.5,0.14285714285714285,0.3333333333333333,0.25,0.5,0.6,0.42857142857142855,0.6,0.16666666666666666,0.6666666666666666
VR,3023,0.5,1.0,1.0,0.5714285714285714,0.3333333333333333,1.0,1.0,0.5,1.0,0.8,0.5714285714285714,0.6,0.5,0.8333333333333334
VR,3743,0.75,1.0,0.5,0.7142857142857143,0.16666666666666666,0.8571428571428571,0.3333333333333333,1.0,0.5,0.8,0.2857142857142857,0.4,0.6666666666666666,0.8333333333333334
VR,4272,0.0,0.5,0.25,0.42857142857142855,0.5,0.7142857142857143,1.0,0.5,0.3333333333333333,0.4,0.14285714285714285,0.6,0.6666666666666666,0.16666666666666666
VR,5239,0.5,0.0,0.5,0.42857142857142855,0.5,0.5714285714285714,0.3333333333333333,1.0,0.6666666666666666,0.4,0.5714285714285714,0.6,0.8333333333333334,0.16666666666666666
VR,5253,1.0,0.5,0.75,0.7142857142857143,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.5,0.5,0.6,0.2857142857142857,0.8,0.5,0.6666666666666666
VR,5346,0.25,1.0,0.0,0.7142857142857143,0.5,0.8571428571428571,0.6666666666666666,0.75,0.3333333333333333,0.6,0.2857142857142857,0.4,0.8333333333333334,1.0
VR,6398,0.0,1.0,0.5,0.5714285714285714,0.5,0.5714285714285714,1.0,1.0,0.8333333333333334,1.0,0.42857142857142855,1.0,0.5,0.8333333333333334
VR,7021,0.5,0.0,0.5,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.75,0.8333333333333334,0.6,0.5714285714285714,0.6,0.6666666666666666,0.5
VR,8072,1.0,1.0,1.0,0.5714285714285714,0.5,0.5714285714285714,0.6666666666666666,0.5,1.0,0.6,0.2857142857142857,0.4,0.5,0.6666666666666666
VR,8195,0.5,0.5,0.25,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.25,0.8333333333333334,0.4,0.42857142857142855,0.8,0.16666666666666666,0.0
VR,8261,0.5,1.0,0.25,0.7142857142857143,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.5,0.5,0.8,0.5714285714285714,0.6,0.6666666666666666,0.6666666666666666
VR,8547,0.25,0.0,0.5,0.7142857142857143,0.3333333333333333,0.7142857142857143,0.0,0.75,0.6666666666666666,0.4,0.7142857142857143,0.6,0.16666666666666666,0.8333333333333334
VR,8699,0.75,1.0,0.5,0.42857142857142855,0.0,0.5714285714285714,0.0,0.25,0.6666666666666666,0.2,0.7142857142857143,0.4,0.8333333333333334,0.8333333333333334
VR,8936,0.75,0.5,0.75,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.75,0.5,0.4,0.42857142857142855,0.2,0.6666666666666666,0.6666666666666666
VR,8954,0.75,0.5,0.5,0.5714285714285714,0.16666666666666666,0.2857142857142857,0.0,0.5,0.6666666666666666,0.6,0.5714285714285714,0.6,0.3333333333333333,0.6666666666666666
VR,9017,0.5,0.5,0.75,0.2857142857142857,0.16666666666666666,0.42857142857142855,0.3333333333333333,0.5,0.5,0.4,0.42857142857142855,0.8,0.8333333333333334,0.6666666666666666
VR,9437,0.5,0.0,0.5,0.5714285714285714,0.8333333333333334,0.7142857142857143,0.6666666666666666,0.25,1.0,0.4,0.42857142857142855,0.2,0.8333333333333334,0.5
VR,9475,0.5,0.0,0.5,0.7142857142857143,0.8333333333333334,0.7142857142857143,1.0,0.75,0.8333333333333334,1.0,0.2857142857142857,0.6,0.6666666666666666,0.5
VR,9961,0.5,0.5,0.0,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.75,0.6666666666666666,0.8,0.2857142857142857,0.2,0.5,0.8333333333333334
map,1719,0.75,0.5,0.25,0.42857142857142855,0.0,0.5714285714285714,0.6666666666666666,0.75,0.8333333333333334,1.0,0.8571428571428571,0.4,0.16666666666666666,0.6666666666666666
map,2096,1.0,1.0,0.25,0.5714285714285714,0.3333333333333333,0.42857142857142855,0.0,0.0,0.8333333333333334,0.6,0.7142857142857143,0.8,0.3333333333333333,1.0
map,2294,0.75,0.5,0.25,0.42857142857142855,0.16666666666666666,0.42857142857142855,0.3333333333333333,0.5,0.8333333333333334,0.8,0.5714285714285714,0.4,0.8333333333333334,0.3333333333333333
map,2299,0.0,0.5,0.5,0.5714285714285714,0.16666666666666666,0.42857142857142855,0.3333333333333333,0.75,0.3333333333333333,0.8,0.5714285714285714,1.0,0.8333333333333334,0.8333333333333334
map,2557,0.5,0.5,0.5,0.5714285714285714,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5714285714285714,0.4,0.6666666666666666,0.3333333333333333
map,3426,0.0,1.0,1.0,0.7142857142857143,0.3333333333333333,0.5714285714285714,1.0,1.0,1.0,0.6,0.8571428571428571,0.8,1.0,1.0
map,4199,1.0,1.0,0.75,0.7142857142857143,0.5,0.8571428571428571,0.6666666666666666,1.0,0.8333333333333334,0.8,0.2857142857142857,0.6,0.6666666666666666,0.5
map,4749,1.0,1.0,0.5,0.7142857142857143,0.5,0.8571428571428571,0.6666666666666666,1.0,0.5,0.2,0.2857142857142857,0.8,0.6666666666666666,0.8333333333333334
map,5048,0.25,0.5,0.25,0.42857142857142855,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.0,0.3333333333333333,0.8,0.8571428571428571,0.4,0.5,0.8333333333333334
map,5162,0.5,0.5,0.5,0.14285714285714285,0.6666666666666666,0.7142857142857143,0.3333333333333333,0.25,0.3333333333333333,0.2,0.2857142857142857,0.6,0.3333333333333333,0.16666666666666666
map,5904,0.25,0.5,0.5,0.2857142857142857,0.6666666666666666,0.14285714285714285,0.0,0.0,0.16666666666666666,0.6,0.5714285714285714,0.4,0.5,0.3333333333333333
map,6449,0.5,0.0,0.5,0.14285714285714285,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.25,0.5,1.0,0.42857142857142855,0.6,0.6666666666666666,0.6666666666666666
map,7085,1.0,1.0,0.5,0.7142857142857143,1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.8,0.8571428571428571,1.0,0.6666666666666666,1.0
map,7396,0.75,1.0,0.75,0.2857142857142857,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.75,0.5,0.8,0.7142857142857143,0.4,0.3333333333333333,0.16666666666666666
map,7844,1.0,1.0,0.5,0.2857142857142857,0.16666666666666666,0.5714285714285714,0.6666666666666666,0.75,0.8333333333333334,1.0,0.7142857142857143,0.2,0.3333333333333333,0.8333333333333334
map,8021,1.0,0.5,0.0,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.75,0.5,0.8,0.5714285714285714,0.8,0.8333333333333334,0.5
map,8078,0.25,1.0,0.75,0.42857142857142855,0.16666666666666666,0.7142857142857143,0.0,1.0,1.0,0.8,0.42857142857142855,0.6,0.6666666666666666,0.8333333333333334
map,8124,0.5,1.0,0.75,1.0,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.75,0.6666666666666666,0.8,0.8571428571428571,0.8,0.8333333333333334,1.0
map,8479,0.75,0.5,0.5,0.42857142857142855,0.16666666666666666,0.7142857142857143,0.3333333333333333,0.5,0.8333333333333334,0.6,0.7142857142857143,0.6,0.5,0.5
map,8802,0.5,1.0,0.25,0.7142857142857143,0.5,0.5714285714285714,0.0,0.75,0.3333333333333333,0.4,0.42857142857142855,0.6,0.5,0.5
map,9369,0.25,0.5,0.75,1.0,0.5,0.7142857142857143,0.3333333333333333,0.75,0.6666666666666666,0.4,0.7142857142857143,0.8,0.6666666666666666,0.5
map,9864,1.0,1.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.8,0.8571428571428571,0.4,0.5,0.6666666666666666
